GeneFull,TranscriptID,Length,Modified_Site_Count,Total_Modified_Reads
gi|55956903|ref|NM_005922.2| ,NM_005922.2,5501,377,2591
gi|262206279|ref|NM_003315.3| ,NM_003315.3,2096,377,3931
gi|167466167|ref|NM_005534.3| ,NM_005534.3,2234,377,3137
gi|162951883|ref|NM_014925.3| ,NM_014925.3,3974,377,3623
gi|75750532|ref|NM_016589.3| ,NM_016589.3,1596,377,4101
gi|116008439|ref|NM_152793.2| ,NM_152793.2,5814,377,2198
gi|387912533|ref|NM_001105214.2| ,NM_001105214.2,3055,377,2953
gi|498917302|ref|NM_001278171.1| ,NM_001278171.1,6253,377,2783
gi|375065849|ref|NM_022474.3| ,NM_022474.3,5608,377,2586
gi|122891867|ref|NM_018477.2| ,NM_018477.2,2451,377,3416
gi|299116114|ref|NM_001997.4| ,NM_001997.4,579,376,13055
gi|40548390|ref|NM_152834.2| ,NM_152834.2,2138,376,3359
gi|116642870|ref|NM_021269.2| ,NM_021269.2,4003,376,4585
gi|392494080|ref|NM_181468.2| ,NM_181468.2,1269,376,4498
gi|256000756|ref|NM_017847.5| ,NM_017847.5,3926,376,3077
gi|189095272|ref|NM_000215.3| ,NM_000215.3,5449,376,3596
gi|410172010|ref|XM_003960359.1| ,XM_003960359.1,2448,376,3617
gi|312222776|ref|NM_001198994.1| ,NM_001198994.1,3662,376,2768
gi|117306168|ref|NM_199418.2| ,NM_199418.2,2224,376,3254
gi|380034213|ref|NM_001257097.1| ,NM_001257097.1,2083,376,3022
gi|410170412|ref|XR_108300.3| ,XR_108300.3,2581,376,3597
gi|375493514|ref|NM_014672.3| ,NM_014672.3,2873,376,2599
gi|219879812|ref|NM_002696.2| ,NM_002696.2,852,376,5760
gi|304555580|ref|NM_032378.4| ,NM_032378.4,2498,375,4180
gi|356582517|ref|NM_001806.3| ,NM_001806.3,3784,375,2666
gi|345842467|ref|NM_012142.4| ,NM_012142.4,3669,375,2562
gi|296010909|ref|NM_001030060.2| ,NM_001030060.2,6324,375,3194
gi|62548867|ref|NM_015331.2| ,NM_015331.2,2944,375,2655
gi|148539577|ref|NM_004087.2| ,NM_004087.2,5034,375,2707
gi|124028528|ref|NM_004819.2| ,NM_004819.2,4188,375,2565
gi|168480109|ref|NM_005225.2| ,NM_005225.2,2722,375,2727
gi|160420325|ref|NM_006930.3| ,NM_006930.3,2714,375,3252
gi|170650707|ref|NM_012434.4| ,NM_012434.4,3333,375,2579
gi|160707983|ref|NM_024561.4| ,NM_024561.4,4359,375,2520
gi|297374781|ref|NM_001185077.1| ,NM_001185077.1,2126,375,3207
gi|312222705|ref|NM_148887.2| ,NM_148887.2,1852,375,3055
gi|394025664|ref|NM_002799.3| ,NM_002799.3,1043,374,6736
gi|261490723|ref|NM_006830.3| ,NM_006830.3,1335,374,5466
gi|187960108|ref|NM_018077.2| ,NM_018077.2,2823,374,2873
gi|193083151|ref|NM_014049.4| ,NM_014049.4,2608,374,2701
gi|197333696|ref|NM_032270.4| ,NM_032270.4,7207,374,2341
gi|148596960|ref|NM_001037582.2| ,NM_001037582.2,3108,374,4054
gi|259089437|ref|NM_001165258.1| ,NM_001165258.1,1201,374,5636
gi|182507163|ref|NM_000553.4| ,NM_000553.4,5765,374,2662
gi|24308333|ref|NM_032448.1| ,NM_032448.1,3261,374,2597
gi|38146115|ref|NM_006589.2| ,NM_006589.2,3209,374,2478
gi|167466162|ref|NM_000416.2| ,NM_000416.2,2138,374,3016
gi|34335267|ref|NM_012409.2| ,NM_012409.2,4047,374,4691
gi|61744459|ref|NM_017588.2| ,NM_017588.2,3163,374,2913
gi|209413767|ref|NM_017798.3| ,NM_017798.3,3277,374,3795
gi|442796430|ref|NM_014062.2| ,NM_014062.2,1775,374,3271
gi|23308504|ref|NM_153035.1| ,NM_153035.1,4097,374,2878
gi|189217913|ref|NM_030962.3| ,NM_030962.3,7447,374,2460
gi|354721180|ref|NM_017924.3| ,NM_017924.3,2960,373,3837
gi|224593262|ref|NR_027295.1| ,NR_027295.1,2608,373,3314
gi|169808398|ref|NM_020381.3| ,NM_020381.3,3568,373,2756
gi|291167753|ref|NM_012310.4| ,NM_012310.4,4504,373,2873
gi|241666465|ref|NM_003642.3| ,NM_003642.3,1682,373,3480
gi|221136802|ref|NM_173632.3| ,NM_173632.3,5292,373,3114
gi|40805821|ref|NM_007263.3| ,NM_007263.3,1134,373,3791
gi|90193620|ref|NM_012141.2| ,NM_012141.2,7465,373,2414
gi|507417952|ref|NM_133480.2| ,NM_133480.2,2846,373,2490
gi|54607090|ref|NM_021627.2| ,NM_021627.2,3207,373,3017
gi|21396481|ref|NM_003512.3| ,NM_003512.3,546,372,8815
gi|84697024|ref|NM_020240.2| ,NM_020240.2,3667,372,2296
gi|319996650|ref|NM_018092.4| ,NM_018092.4,3692,372,2605
gi|242332556|ref|NM_138467.2| ,NM_138467.2,3448,372,3441
gi|507834062|ref|NM_001278352.1| ,NM_001278352.1,3633,372,2450
gi|507144084|ref|NM_001031723.3| ,NM_001031723.3,6088,372,2205
gi|157364936|ref|NM_016023.3| ,NM_016023.3,3306,372,2233
gi|145309327|ref|NM_173462.3| ,NM_173462.3,5849,372,5276
gi|126012572|ref|NM_004525.2| ,NM_004525.2,15735,372,2325
gi|166362739|ref|NM_001992.3| ,NM_001992.3,3847,372,2192
gi|40805829|ref|NM_198189.2| ,NM_198189.2,2339,372,3216
gi|148792969|ref|NM_005640.1| ,NM_005640.1,4777,372,2596
gi|293336611|ref|NM_005094.3| ,NM_005094.3,3204,372,2666
gi|57863292|ref|NM_015264.1| ,NM_015264.1,6287,372,2747
gi|301601626|ref|NM_080593.2| ,NM_080593.2,863,372,13727
gi|399498567|ref|NM_004308.3| ,NM_004308.3,3460,372,3692
gi|22907059|ref|NM_018242.2| ,NM_018242.2,3279,372,3231
gi|365767597|ref|NM_031448.4| ,NM_031448.4,4683,372,2558
gi|300068921|ref|NM_021821.3| ,NM_021821.3,1919,371,2836
gi|142976685|ref|NM_001083893.1| ,NM_001083893.1,4233,371,2699
gi|326937451|ref|NM_001143674.2| ,NM_001143674.2,2220,371,4077
gi|394582017|ref|NM_005022.3| ,NM_005022.3,1365,371,6306
gi|307344671|ref|NM_005802.4| ,NM_005802.4,4183,371,2596
gi|397139457|ref|XR_159033.1| ,XR_159033.1,3327,371,2720
gi|332205979|ref|NM_004701.3| ,NM_004701.3,1566,371,3333
gi|267844810|ref|NM_020443.4| ,NM_020443.4,13029,371,2837
gi|21071031|ref|NM_016222.2| ,NM_016222.2,2118,371,2975
gi|78190467|ref|NM_000987.3| ,NM_000987.3,602,371,43634
gi|93004077|ref|NM_012260.2| ,NM_012260.2,2037,371,2850
gi|304434525|ref|NM_001080497.2| ,NM_001080497.2,6227,371,2240
gi|155030191|ref|NM_001100426.1| ,NM_001100426.1,3770,370,2659
gi|197276673|ref|NM_001134375.1| ,NM_001134375.1,4153,370,2468
gi|91984777|ref|NM_001007027.2| ,NM_001007027.2,1743,370,3096
gi|46409329|ref|NM_207348.1| ,NM_207348.1,3172,370,3678
gi|324072791|ref|NM_014313.3| ,NM_014313.3,2327,370,2900
gi|4505234|ref|NM_002435.1| ,NM_002435.1,1771,370,3258
gi|7019376|ref|NM_013393.1| ,NM_013393.1,1605,370,2796
gi|74316011|ref|NM_006369.4| ,NM_006369.4,2960,370,2228
gi|90577182|ref|NM_181575.3| ,NM_181575.3,1612,370,3496
gi|188497709|ref|NM_144607.4| ,NM_144607.4,3760,370,3414
gi|46370090|ref|NM_170746.2| ,NM_170746.2,1294,370,4064
gi|311771640|ref|NM_001198779.1| ,NM_001198779.1,4285,370,3076
gi|197333804|ref|NM_022776.4| ,NM_022776.4,4651,369,2716
gi|224028222|ref|NR_026956.1| ,NR_026956.1,2385,369,3128
gi|304571964|ref|NM_001195215.1| ,NM_001195215.1,8388,369,2448
gi|197116349|ref|NM_024734.3| ,NM_024734.3,12750,369,3498
gi|47607493|ref|NM_201380.2| ,NM_201380.2,15249,369,2378
gi|78190459|ref|NM_000978.3| ,NM_000978.3,594,369,14070
gi|110225343|ref|NM_020715.2| ,NM_020715.2,6540,369,2568
gi|55749725|ref|NM_020782.1| ,NM_020782.1,6477,369,2062
gi|428977316|ref|NM_015511.4| ,NM_015511.4,2765,368,2466
gi|407970995|ref|NM_001271512.1| ,NM_001271512.1,4185,368,3122
gi|324021714|ref|NM_006247.3| ,NM_006247.3,2232,368,2607
gi|444299632|ref|NM_080596.2| ,NM_080596.2,481,368,16277
gi|161377456|ref|NM_002537.2| ,NM_002537.2,1936,368,2551
gi|45594311|ref|NM_032271.2| ,NM_032271.2,3676,368,2703
gi|352962163|ref|NM_014938.4| ,NM_014938.4,5508,368,2686
gi|331028738|ref|NM_001206612.1| ,NM_001206612.1,2175,368,3630
gi|213385276|ref|NM_015650.3| ,NM_015650.3,4183,368,3749
gi|514052655|ref|NM_001278549.1| ,NM_001278549.1,4734,368,2466
gi|188528640|ref|NM_178123.4| ,NM_178123.4,10448,368,2303
gi|116235443|ref|NM_138421.2| ,NM_138421.2,1545,368,3617
gi|158634485|ref|NM_000046.3| ,NM_000046.3,6076,367,3074
gi|145580630|ref|NM_181701.3| ,NM_181701.3,4549,367,2316
gi|260656029|ref|NM_001166108.1| ,NM_001166108.1,5870,367,2537
gi|354681981|ref|NM_015895.4| ,NM_015895.4,1275,367,3833
gi|51173723|ref|NM_004053.3| ,NM_004053.3,2005,367,3243
gi|49355806|ref|NM_032287.2| ,NM_032287.2,5355,367,2911
gi|50726995|ref|NM_020244.2| ,NM_020244.2,1567,367,3573
gi|93588649|ref|NM_001040199.1| ,NM_001040199.1,2500,367,2797
gi|300360576|ref|NM_003104.5| ,NM_003104.5,2813,367,2991
gi|427197593|ref|NM_001271840.1| ,NM_001271840.1,4553,367,2236
gi|297206750|ref|NM_014647.3| ,NM_014647.3,7760,367,2495
gi|45439320|ref|NM_005038.2| ,NM_005038.2,1851,367,3336
gi|157384981|ref|NM_005078.2| ,NM_005078.2,5354,367,2120
gi|98985781|ref|NM_178042.2| ,NM_178042.2,1956,367,2811
gi|291084611|ref|NM_001173523.1| ,NM_001173523.1,8728,366,2214
gi|51944960|ref|NM_001810.5| ,NM_001810.5,2856,366,2337
gi|41352696|ref|NM_006733.2| ,NM_006733.2,2571,366,2836
gi|343168781|ref|NM_015480.2| ,NM_015480.2,5265,366,2559
gi|193083124|ref|NM_001128918.1| ,NM_001128918.1,3546,366,2588
gi|145580607|ref|NM_001083961.1| ,NM_001083961.1,4746,366,2710
gi|148235698|ref|NM_020459.1| ,NM_020459.1,6300,366,2257
gi|209969691|ref|NM_001136200.1| ,NM_001136200.1,2450,366,2984
gi|356874772|ref|NM_001202560.2| ,NM_001202560.2,1307,366,4045
gi|384229063|ref|NM_001257994.1| ,NM_001257994.1,3003,366,2374
gi|118766340|ref|NM_006401.2| ,NM_006401.2,1617,366,5765
gi|386869490|ref|NM_139215.2| ,NM_139215.2,2217,366,3904
gi|63999047|ref|NM_178509.5| ,NM_178509.5,6046,366,2204
gi|226371668|ref|NM_001146015.1| ,NM_001146015.1,3084,366,2446
gi|283806597|ref|NM_001171080.1| ,NM_001171080.1,5141,366,2245
gi|358679345|ref|NM_138769.2| ,NM_138769.2,2556,365,3008
gi|124286829|ref|NM_133374.2| ,NM_133374.2,9133,365,2334
gi|295442468|ref|NM_005732.3| ,NM_005732.3,6597,365,2536
gi|186972139|ref|NM_001280.2| ,NM_001280.2,1397,365,3054
gi|221316690|ref|NM_021645.5| ,NM_021645.5,5537,365,2725
gi|375331893|ref|NM_001256648.1| ,NM_001256648.1,5771,365,3071
gi|55749643|ref|NM_015054.1| ,NM_015054.1,5195,365,2220
gi|304647594|ref|NM_001195220.1| ,NM_001195220.1,4455,365,2667
gi|145701026|ref|NM_144736.4| ,NM_144736.4,2221,365,3336
gi|261490707|ref|NM_001166304.1| ,NM_001166304.1,3106,365,2243
gi|224586941|ref|NR_002775.2| ,NR_002775.2,3525,365,8616
gi|153285459|ref|NM_031904.3| ,NM_031904.3,3774,365,3594
gi|293336213|ref|NM_000919.3| ,NM_000919.3,5359,365,2545
gi|428981051|ref|NM_002768.4| ,NM_002768.4,2428,364,2315
gi|50593003|ref|NM_079834.2| ,NM_079834.2,2548,364,2487
gi|373938426|ref|NM_001256394.1| ,NM_001256394.1,4440,364,2683
gi|378925640|ref|NM_194271.2| ,NM_194271.2,2086,364,2919
gi|50541945|ref|NM_001002296.1| ,NM_001002296.1,2042,364,2841
gi|301129281|ref|NM_178001.2| ,NM_178001.2,2869,364,2410
gi|52851406|ref|NM_005702.2| ,NM_005702.2,1856,364,3293
gi|371874556|ref|NM_001256185.1| ,NM_001256185.1,2440,364,2540
gi|66529004|ref|NM_005688.2| ,NM_005688.2,5851,364,2613
gi|315709509|ref|NM_001199942.1| ,NM_001199942.1,7995,364,2163
gi|154816200|ref|NM_015666.3| ,NM_015666.3,2949,363,3801
gi|297206769|ref|NM_001185011.1| ,NM_001185011.1,3348,363,2642
gi|336088674|ref|NR_038425.1| ,NR_038425.1,2781,363,4103
gi|333470724|ref|NR_038253.1| ,NR_038253.1,5762,363,2575
gi|189458859|ref|NM_007315.3| ,NM_007315.3,4326,363,2433
gi|383872446|ref|NM_001257389.1| ,NM_001257389.1,1238,363,4206
gi|195927045|ref|NM_020652.2| ,NM_020652.2,5559,363,3886
gi|480306418|ref|NM_017940.4| ,NM_017940.4,6183,363,2563
gi|93277109|ref|NM_001040185.1| ,NM_001040185.1,4577,363,2459
gi|55925650|ref|NM_153333.2| ,NM_153333.2,1231,363,3678
gi|32484988|ref|NM_058219.2| ,NM_058219.2,1729,363,4666
gi|112382215|ref|NM_012102.3| ,NM_012102.3,8207,362,2275
gi|156151370|ref|NM_016531.5| ,NM_016531.5,5632,362,2104
gi|319918879|ref|NM_032634.3| ,NM_032634.3,4087,362,2245
gi|157388936|ref|NM_017919.2| ,NM_017919.2,6910,362,1979
gi|134152706|ref|NM_015852.3| ,NM_015852.3,6404,362,4697
gi|148612836|ref|NM_015531.4| ,NM_015531.4,6300,362,2418
gi|219689101|ref|NM_001001555.2| ,NM_001001555.2,5040,362,2367
gi|151301095|ref|NM_024831.6| ,NM_024831.6,3708,362,2859
gi|55742694|ref|NM_018028.2| ,NM_018028.2,4543,362,2375
gi|110227625|ref|NM_001042537.1| ,NM_001042537.1,4742,361,2345
gi|385719197|ref|NM_001258394.1| ,NM_001258394.1,3379,361,2670
gi|384551650|ref|NM_025233.6| ,NM_025233.6,2574,361,2901
gi|109148507|ref|NM_017670.2| ,NM_017670.2,2310,361,3902
gi|330864706|ref|NM_020829.3| ,NM_020829.3,6787,361,2199
gi|302129661|ref|NM_138381.3| ,NM_138381.3,3992,361,2218
gi|21735578|ref|NM_015550.2| ,NM_015550.2,6730,361,2342
gi|345842491|ref|NM_003121.4| ,NM_003121.4,3537,361,4094
gi|148596952|ref|NM_019004.1| ,NM_019004.1,6081,361,2420
gi|194248080|ref|NM_001130067.1| ,NM_001130067.1,6792,361,2406
gi|371874305|ref|NM_001256182.1| ,NM_001256182.1,9381,361,2544
gi|299473794|ref|NM_001190478.1| ,NM_001190478.1,1739,361,16369
gi|373838732|ref|NR_046088.1| ,NR_046088.1,2265,361,8112
gi|118600990|ref|NM_001079537.1| ,NM_001079537.1,3364,361,4683
gi|219879805|ref|NM_001143906.1| ,NM_001143906.1,3196,361,2831
gi|148746219|ref|NM_023071.3| ,NM_023071.3,3796,361,3189
gi|387942391|ref|NM_001265582.1| ,NM_001265582.1,4369,361,2828
gi|22547139|ref|NM_146388.1| ,NM_146388.1,2404,361,3324
gi|168693608|ref|NR_015362.1| ,NR_015362.1,4798,360,5654
gi|219521824|ref|NM_021211.3| ,NM_021211.3,2756,360,2687
gi|153791993|ref|NM_013400.3| ,NM_013400.3,3310,360,2710
gi|221136789|ref|NR_024448.2| ,NR_024448.2,3442,360,2620
gi|78217389|ref|NM_001004.3| ,NM_001004.3,511,360,22764
gi|53729323|ref|NM_017838.3| ,NM_017838.3,867,360,5279
gi|115495001|ref|NM_032510.3| ,NM_032510.3,3847,360,2721
gi|325197105|ref|NM_031431.3| ,NM_031431.3,4601,360,2545
gi|39995072|ref|NM_007065.3| ,NM_007065.3,1693,360,2875
gi|411147361|ref|NM_004299.4| ,NM_004299.4,2528,360,2794
gi|153791299|ref|NM_018115.2| ,NM_018115.2,3031,360,3192
gi|48717494|ref|NM_019015.1| ,NM_019015.1,3970,360,2307
gi|64762405|ref|NM_006212.2| ,NM_006212.2,7073,359,2101
gi|7661555|ref|NM_015679.1| ,NM_015679.1,1439,359,3054
gi|82546829|ref|NM_021807.3| ,NM_021807.3,4203,359,2902
gi|387849236|ref|NM_002613.4| ,NM_002613.4,7243,359,2253
gi|115298642|ref|NM_198040.2| ,NM_198040.2,3873,359,3393
gi|344925866|ref|NM_014311.2| ,NM_014311.2,2719,359,2686
gi|261278313|ref|NM_006649.3| ,NM_006649.3,2577,359,3582
gi|301601614|ref|NM_033017.3| ,NM_033017.3,3458,359,8758
gi|149999372|ref|NM_178832.3| ,NM_178832.3,2441,359,3140
gi|115527079|ref|NM_004689.3| ,NM_004689.3,2856,358,2429
gi|71773764|ref|NM_014736.4| ,NM_014736.4,1508,358,4242
gi|169790854|ref|NM_022915.3| ,NM_022915.3,1772,358,3474
gi|312836797|ref|NM_001199196.1| ,NM_001199196.1,2505,358,2762
gi|156630999|ref|NM_014372.4| ,NM_014372.4,3082,358,2765
gi|299890812|ref|NM_006190.4| ,NM_006190.4,3140,358,2843
gi|88759338|ref|NM_001039580.1| ,NM_001039580.1,7333,358,2810
gi|195539365|ref|NM_003861.2| ,NM_003861.2,5999,357,2373
gi|284507291|ref|NM_006999.4| ,NM_006999.4,3871,357,2230
gi|164663746|ref|NM_000453.2| ,NM_000453.2,3594,357,4380
gi|503775787|ref|NM_001278251.1| ,NM_001278251.1,3110,357,3576
gi|150421683|ref|NM_015205.2| ,NM_015205.2,8795,357,2344
gi|345478705|ref|NM_016732.2| ,NM_016732.2,4790,357,2711
gi|257196141|ref|NM_001142864.2| ,NM_001142864.2,7833,357,2068
gi|226371653|ref|NM_001039891.2| ,NM_001039891.2,4095,357,2816
gi|155030243|ref|NM_017599.3| ,NM_017599.3,4580,357,2401
gi|223890233|ref|NM_005897.2| ,NM_005897.2,3269,357,2986
gi|56786140|ref|NM_014473.2| ,NM_014473.2,1557,357,3381
gi|299523051|ref|NM_001190487.1| ,NM_001190487.1,1395,357,135539
gi|221316688|ref|NM_001144002.1| ,NM_001144002.1,4334,357,3529
gi|259906387|ref|NM_025000.3| ,NM_025000.3,5842,357,2665
gi|45356742|ref|NM_020382.3| ,NM_020382.3,2765,357,2868
gi|134142347|ref|NM_004685.3| ,NM_004685.3,5222,357,2398
gi|298919187|ref|NM_001042440.2| ,NM_001042440.2,4550,356,2448
gi|513126886|ref|NM_001037954.3| ,NM_001037954.3,5963,356,2778
gi|99077115|ref|NM_019852.3| ,NM_019852.3,1975,356,2952
gi|89242130|ref|NM_014305.2| ,NM_014305.2,1952,356,2632
gi|195222745|ref|NM_018290.3| ,NM_018290.3,3238,356,2341
gi|150456423|ref|NM_015348.1| ,NM_015348.1,6657,356,2552
gi|19913344|ref|NM_006527.2| ,NM_006527.2,1743,356,3895
gi|364502962|ref|NM_024513.3| ,NM_024513.3,8518,356,2133
gi|66932981|ref|NM_017556.2| ,NM_017556.2,3363,356,2052
gi|225543334|ref|NM_001145642.2| ,NM_001145642.2,6903,356,2170
gi|224451129|ref|NM_020706.2| ,NM_020706.2,4269,356,2282
gi|56549144|ref|NM_182915.2| ,NM_182915.2,4285,356,2387
gi|215422332|ref|NM_003878.2| ,NM_003878.2,1505,356,3581
gi|118600986|ref|NM_017658.3| ,NM_017658.3,6568,356,2055
gi|451172080|ref|NM_201999.2| ,NM_201999.2,3242,356,2327
gi|186910280|ref|NM_003850.2| ,NM_003850.2,2182,356,2695
gi|310124178|ref|XR_110925.1| ,XR_110925.1,2194,356,3521
gi|395455080|ref|NM_001270528.1| ,NM_001270528.1,5929,356,2306
gi|392513691|ref|NM_018335.4| ,NM_018335.4,3794,355,3367
gi|394025693|ref|NM_198236.2| ,NM_198236.2,6904,355,2108
gi|222352110|ref|NM_032390.4| ,NM_032390.4,1754,355,3093
gi|55769586|ref|NM_003703.1| ,NM_003703.1,2939,355,2831
gi|188219545|ref|NM_000243.2| ,NM_000243.2,3507,355,3340
gi|55741676|ref|NM_014712.1| ,NM_014712.1,6447,355,2488
gi|374532774|ref|NM_001256494.1| ,NM_001256494.1,3342,355,2313
gi|164698437|ref|NM_003258.4| ,NM_003258.4,1616,355,3160
gi|323276619|ref|NM_145165.3| ,NM_145165.3,3635,355,2932
gi|61743966|ref|NM_001012614.1| ,NM_001012614.1,2483,355,2713
gi|295842490|ref|NM_004177.4| ,NM_004177.4,6498,355,2279
gi|116536084|ref|NM_016953.3| ,NM_016953.3,9285,355,2935
gi|122937228|ref|NM_001080417.1| ,NM_001080417.1,6087,354,2252
gi|290543308|ref|NM_001145082.2| ,NM_001145082.2,4171,354,3629
gi|219842241|ref|NM_016488.6| ,NM_016488.6,3484,354,2472
gi|258547122|ref|NM_001151.3| ,NM_001151.3,4420,354,2913
gi|199560897|ref|NM_152778.2| ,NM_152778.2,4562,354,3110
gi|310114352|ref|XR_112457.1| ,XR_112457.1,2901,354,2972
gi|291621646|ref|NM_006320.4| ,NM_006320.4,3790,354,3127
gi|506949337|ref|NM_182691.2| ,NM_182691.2,3780,354,2210
gi|31377704|ref|NM_024548.2| ,NM_024548.2,4439,354,2165
gi|379030587|ref|NM_001256849.1| ,NM_001256849.1,3467,354,2349
gi|239582723|ref|NM_002467.4| ,NM_002467.4,2379,354,2935
gi|75677354|ref|NM_001033112.1| ,NM_001033112.1,1521,354,3832
gi|336020381|ref|NM_017612.3| ,NM_017612.3,4183,354,2514
gi|157694515|ref|NM_001002030.1| ,NM_001002030.1,2354,354,2883
gi|95147334|ref|NM_002223.2| ,NM_002223.2,12568,354,2308
gi|189163523|ref|NM_033064.4| ,NM_033064.4,5049,354,2075
gi|56699410|ref|NM_018656.2| ,NM_018656.2,2347,354,2781
gi|75813621|ref|NM_001325.2| ,NM_001325.2,2027,354,2739
gi|188497682|ref|NM_024622.3| ,NM_024622.3,3020,354,2253
gi|70608171|ref|NM_001025252.1| ,NM_001025252.1,4250,353,2470
gi|157364940|ref|NM_152357.2| ,NM_152357.2,4181,353,2871
gi|285393924|ref|NM_001171948.1| ,NM_001171948.1,1592,353,3328
gi|315221158|ref|NM_001199803.1| ,NM_001199803.1,4125,353,2666
gi|335892790|ref|NM_014071.3| ,NM_014071.3,7071,353,2442
gi|337299691|ref|NR_038955.1| ,NR_038955.1,2123,353,2750
gi|242117945|ref|NM_001162529.1| ,NM_001162529.1,5950,353,2482
gi|209529710|ref|NM_003389.3| ,NM_003389.3,5657,353,2989
gi|283806709|ref|NM_024657.4| ,NM_024657.4,3847,353,2630
gi|217416391|ref|NM_172069.3| ,NM_172069.3,6972,353,3631
gi|113204605|ref|NM_021163.3| ,NM_021163.3,6551,352,2211
gi|181337199|ref|NM_004589.2| ,NM_004589.2,1768,352,3435
gi|284005320|ref|NM_005777.2| ,NM_005777.2,3758,352,2504
gi|212720602|ref|NM_016095.2| ,NM_016095.2,1196,352,3350
gi|44829053|ref|NM_001950.3| ,NM_001950.3,2100,352,2931
gi|59710102|ref|NM_006315.4| ,NM_006315.4,5666,352,2303
gi|296841071|ref|NM_019045.4| ,NM_019045.4,4160,352,2398
gi|343098475|ref|NM_024678.5| ,NM_024678.5,2519,352,3393
gi|302058244|ref|NM_017735.4| ,NM_017735.4,2953,352,2607
gi|88999590|ref|NM_197947.2| ,NM_197947.2,2622,352,4638
gi|45439350|ref|NM_016332.2| ,NM_016332.2,1386,351,1966
gi|262231832|ref|NM_007033.4| ,NM_007033.4,3118,351,3041
gi|57863302|ref|NM_004645.2| ,NM_004645.2,2649,351,2823
gi|288541298|ref|NM_138389.2| ,NM_138389.2,4138,351,3354
gi|119393877|ref|NM_004536.2| ,NM_004536.2,6551,351,2338
gi|116008438|ref|NM_002158.3| ,NM_002158.3,5472,351,1922
gi|25777597|ref|NM_152879.2| ,NM_152879.2,6294,351,2087
gi|98991766|ref|NM_152787.3| ,NM_152787.3,6798,351,2492
gi|91208424|ref|NM_012469.3| ,NM_012469.3,3120,351,2638
gi|70608184|ref|NM_001025266.1| ,NM_001025266.1,5901,351,2395
gi|91807123|ref|NM_014888.2| ,NM_014888.2,2552,351,2847
gi|118918428|ref|NM_178844.2| ,NM_178844.2,6401,351,2614
gi|67078405|ref|NM_001024732.1| ,NM_001024732.1,2434,351,2691
gi|224282130|ref|NM_005626.4| ,NM_005626.4,2535,350,3599
gi|83656777|ref|NM_013234.2| ,NM_013234.2,910,350,4785
gi|379030591|ref|NM_015913.3| ,NM_015913.3,2412,350,3517
gi|56699484|ref|NM_006893.2| ,NM_006893.2,2115,350,2699
gi|157388994|ref|NM_018257.2| ,NM_018257.2,3929,350,2219
gi|317108182|ref|NM_001177.4| ,NM_001177.4,3215,350,2646
gi|260275229|ref|NM_001166010.1| ,NM_001166010.1,1422,350,4183
gi|94421467|ref|NM_000466.2| ,NM_000466.2,4390,350,2365
gi|165932369|ref|NM_024582.4| ,NM_024582.4,16114,350,2007
gi|142371747|ref|NM_006322.4| ,NM_006322.4,3908,350,2266
gi|58761509|ref|NM_024640.3| ,NM_024640.3,1871,350,3021
gi|300388169|ref|NM_001191033.1| ,NM_001191033.1,5169,350,2969
gi|156671211|ref|NM_016513.4| ,NM_016513.4,6238,350,1880
gi|141803116|ref|NM_031469.2| ,NM_031469.2,4675,349,2314
gi|305682563|ref|NM_203301.3| ,NM_203301.3,5149,349,2391
gi|54234033|ref|NM_016516.2| ,NM_016516.2,3994,349,2277
gi|40217822|ref|NM_015567.1| ,NM_015567.1,4461,349,2174
gi|157502211|ref|NM_017423.2| ,NM_017423.2,4339,349,2102
gi|460838702|ref|NM_152862.2| ,NM_152862.2,1514,349,3666
gi|148271089|ref|NM_014337.3| ,NM_014337.3,4128,349,4551
gi|164664491|ref|NM_007103.3| ,NM_007103.3,1631,349,2895
gi|384475525|ref|NM_003297.3| ,NM_003297.3,4068,349,3276
gi|156105700|ref|NM_015571.2| ,NM_015571.2,6645,349,2730
gi|110224471|ref|NM_145167.2| ,NM_145167.2,4322,349,2277
gi|299782606|ref|NM_020933.4| ,NM_020933.4,4098,349,2166
gi|68161486|ref|NM_003931.2| ,NM_003931.2,3230,349,2498
gi|297206865|ref|NM_001008222.2| ,NM_001008222.2,4639,349,2243
gi|508772596|ref|NM_001278408.1| ,NM_001278408.1,3073,349,2742
gi|422398831|ref|NM_001271779.1| ,NM_001271779.1,1652,349,3921
gi|197313653|ref|NM_001134415.1| ,NM_001134415.1,3080,349,3522
gi|61743976|ref|NM_003131.2| ,NM_003131.2,4343,348,2357
gi|221139820|ref|NM_020645.2| ,NM_020645.2,3809,348,4533
gi|93141032|ref|NM_007349.3| ,NM_007349.3,3723,348,2285
gi|18105036|ref|NM_004718.2| ,NM_004718.2,1145,348,3583
gi|34335290|ref|NM_003935.3| ,NM_003935.3,3124,348,2674
gi|40806171|ref|NM_003119.2| ,NM_003119.2,3096,348,2443
gi|41406096|ref|NM_004423.3| ,NM_004423.3,5062,348,2040
gi|344217736|ref|NM_001243765.1| ,NM_001243765.1,6874,348,2880
gi|193083212|ref|NM_005871.3| ,NM_005871.3,2043,348,2780
gi|226497733|ref|NM_001146699.1| ,NM_001146699.1,4496,348,2365
gi|312176365|ref|NM_001198956.1| ,NM_001198956.1,3633,348,2394
gi|25470889|ref|NM_170711.1| ,NM_170711.1,2274,348,2651
